"player","player_id","position","team_name","player_game_count","attempts","attempts_with_hangtime","average_hangtime","average_net_yards","average_yards_per_attempt","average_yards_per_return","blocks","declined_penalties","downeds","fair_catches","franchise_id","grades_punter","inside_twenties","long","out_of_bounds","penalties","percent_returned","return_yards","returns","snaps","total_hangtime","total_net_yards","touchbacks","yards","season"
"M.Palardy",9277,"P","CAR",7,36,36,4.32,37.92,42.53,6,0,0,7,6,5,58.7,15,56,0,0,58.3,126,21,36,155.55,1365,2,1531,2016
"J.Schum",9373,"P","GB",19,67,67,4.3,39.81,43.94,8.4,0,0,9,21,12,62.5,22,66,11,0,31.3,177,21,67,288.28,2667,5,2944,2016
"B.Pinion",9598,"P","SF",16,100,100,4.5,39.77,44.02,8.6,0,0,11,41,28,56.2,28,65,4,0,40,345,40,100,449.5,3977,4,4402,2016
"M.Darr",9812,"P","MIA",17,92,92,4.26,39.83,44.49,8.1,0,1,15,26,17,66.1,36,66,7,1,41.3,309,38,92,391.99,3664,6,4093,2016
"M.Wile",9972,"K","ARZ",4,12,12,4.51,43,46.08,5.3,1,0,2,3,1,72.9,2,59,0,0,58.3,37,7,13,54.07,516,0,553,2016
"J.Berry",10236,"P","PIT",19,75,75,4.35,40.13,44.91,9.6,1,0,9,19,25,65.5,30,64,14,0,38.7,278,29,76,326.04,3010,4,3368,2016
"D.Kaser",10813,"P","SD",16,59,59,4.31,39.81,46.29,8.5,0,0,6,10,27,50.7,19,69,5,0,55.9,282,33,59,254.03,2349,5,2731,2016
"R.Dixon",10862,"P","DEN",16,89,89,4.29,41.31,45.71,6.9,0,0,12,25,10,63.4,31,68,6,0,43.8,271,39,89,381.55,3677,6,4068,2016
"L.Edwards",10869,"P","NYJ",16,75,75,4.35,37.83,43.15,9.1,1,0,8,22,22,50,27,59,6,0,46.7,319,35,76,326.02,2837,4,3236,2016
"S.Lechler",673,"P","HST",16,92,92,4.36,41.29,48.99,12.4,0,0,8,22,13,73.8,37,68,8,1,53.3,608,49,92,401.48,3799,5,4507,2017
"A.Lee",1906,"P","ARZ",16,88,88,4.32,39.69,47.26,10.5,0,0,13,13,1,67.8,30,63,6,0,54.5,506,48,88,379.8,3493,8,4159,2017
"D.Jones",1939,"P","PHI",19,74,74,4.18,41.03,44.96,7.1,1,0,16,20,24,55.3,27,62,7,0,32.4,171,24,75,309.02,3036,6,3327,2017
"D.Colquitt",2316,"P","KC",17,70,70,4.47,41.2,45.51,6.7,0,0,9,23,16,60,32,77,5,0,38.6,182,27,70,312.97,2884,6,3186,2017
"S.Koch",3148,"P","BLT",16,84,84,4.3,40.81,44.82,8.1,1,0,13,18,3,69,40,67,16,0,40.5,277,34,85,361.25,3428,3,3765,2017
"M.Prater",3471,"K","DET",1,4,4,3.72,34.75,34.75,NA,0,0,2,2,11,43.1,1,47,0,0,0,0,0,4,14.89,139,0,139,2017
"J.Ryan",3493,"P","SEA",16,92,92,4.29,38.79,45.01,10,0,0,12,19,29,67.6,29,74,10,0,48.9,452,45,92,395.05,3569,6,4141,2017
"B.Kern",4580,"P","TEN",18,85,85,4.21,44.16,49.12,7.1,0,0,5,13,31,82.3,35,74,17,0,52.9,321,45,85,357.56,3754,5,4175,2017
"K.Huber",5066,"P","CIN",16,88,88,4.22,41.26,46.6,9.5,1,0,12,23,7,61.1,33,63,7,0,48.9,410,43,89,371.36,3631,3,4101,2017
"T.Morstead",5088,"P","NO",17,68,68,4.54,42.03,47.01,10.3,0,0,9,22,20,91.5,29,68,7,0,39.7,279,27,68,309,2858,3,3197,2017
"B.Colquitt",5192,"P","CLV",16,80,80,4.25,41.11,47.64,10.7,1,0,15,13,8,60.9,26,67,5,0,56.3,482,45,81,339.82,3289,2,3811,2017
"M.Bosher",6344,"P","ATL",18,64,64,4.55,40.84,44.38,6.6,0,0,5,25,2,71.6,24,62,4,0,43.8,186,28,64,291.07,2614,2,2840,2017
"C.Jones",6798,"P","DAL",16,66,66,4.6,41.41,44.06,4.2,0,0,14,20,9,81,38,62,9,0,27.3,75,18,66,303.66,2733,5,2908,2017
"B.Anger",7072,"P","TB",16,65,65,4.55,40.06,43.95,5.7,1,0,7,21,30,70,26,62,5,0,41.5,153,27,66,295.72,2604,5,2857,2017
"B.Nortman",7192,"P","JAX",19,106,106,4.33,39.3,43.58,7.4,1,0,11,33,15,65.2,41,65,17,0,34.9,274,37,107,459.17,4166,9,4620,2017
"J.Hekker",7252,"P","LA",17,70,70,4.36,44.21,47.59,6,0,0,9,15,26,78.8,36,70,16,0,37.1,156,26,70,305.07,3095,4,3331,2017
"M.King",7410,"P","OAK",16,69,69,4.44,42.68,47.39,6.4,0,0,10,15,23,81.8,31,65,6,0,46.4,205,32,69,306.02,2945,6,3270,2017
"R.Quigley",7573,"P","MIN",18,78,78,4.5,38.49,41.87,8.6,0,0,7,36,18,80.5,33,56,7,0,33.3,224,26,78,351.05,3002,2,3266,2017
"J.Locke",7937,"P","DET",5,27,27,4.47,42.22,45.26,7.5,0,0,2,11,11,74.5,11,54,3,0,40.7,82,11,27,120.61,1140,0,1222,2017
"S.Martin",7947,"P","DET",9,41,41,4.2,37.63,43.39,8.3,0,0,4,12,11,53.2,13,64,5,0,34.1,116,14,41,172.1,1543,6,1779,2017
"C.Schmidt",8104,"P","BUF",17,87,87,4.25,40.51,44.55,5.3,0,0,10,19,4,64.6,35,60,11,0,46,212,40,87,370,3524,7,3876,2017
"R.Allen",8242,"P","NE",18,68,68,4.08,40.43,43.15,4.4,0,0,14,19,19,47.4,30,60,7,0,35.3,105,24,68,277.74,2749,4,2934,2017
"B.Wing",8256,"P","NYG",16,95,95,4.1,37.48,44.09,10.4,2,0,16,20,21,47.3,22,69,7,0,45.3,448,43,97,389.42,3561,9,4189,2017
"T.Way",8358,"P","WAS",16,83,83,4.53,39.02,45.71,11.2,0,0,7,26,32,77.1,34,64,5,0,47,435,39,83,375.8,3239,6,3794,2017
"B.McManus",8437,"K","DEN",1,1,1,3.79,26,26,NA,0,0,1,0,10,60,1,26,0,0,0,0,0,1,3.79,26,0,26,2017
"P.O'Donnell",8826,"P","CHI",16,87,87,4.19,39.71,46.98,10.4,0,0,9,15,6,55.3,27,69,8,0,56.3,512,49,87,364.87,3455,6,4087,2017
"K.Redfern",9155,"P","DET",1,1,1,3.81,50,50,0,0,0,0,0,11,60,0,50,0,0,100,0,1,1,3.81,50,0,50,2017
"M.Palardy",9277,"P","CAR",17,74,74,4.49,42.45,46.14,6,0,0,10,22,5,74.2,26,63,6,0,43.2,193,32,74,332.02,3141,4,3414,2017
"B.Pinion",9598,"P","SF",16,75,75,4.38,41.29,43.4,4.3,0,0,10,23,28,70.3,35,59,8,0,42.7,138,32,75,328.48,3097,1,3255,2017
"J.Berry",10236,"P","PIT",17,66,66,4.5,39.47,43.06,7.7,0,0,7,24,25,75.6,28,62,9,0,34.8,177,23,66,296.69,2605,3,2842,2017
"D.Kaser",10813,"P","LAC",15,74,74,4.1,41.34,48.08,6.6,0,0,7,6,27,59.6,33,69,4,0,64.9,319,48,74,303.12,3059,9,3558,2017
"R.Dixon",10862,"P","DEN",16,73,73,4.23,41.27,45.63,8.6,2,0,12,23,10,57.2,24,60,5,0,41.1,258,30,75,308.49,3013,3,3331,2017
"L.Edwards",10869,"P","NYJ",16,94,94,4.18,40.5,46.57,10,0,0,10,23,22,58.4,36,70,8,0,52.1,491,49,94,392.46,3807,4,4378,2017
"Z.Gonzalez",11979,"K","CLV",1,1,1,3.23,16,16,NA,0,0,0,0,8,60,0,16,1,0,0,0,0,1,3.23,16,0,16,2017
"J.Vogel",12119,"P","GB",16,71,71,4.34,41.56,44.44,5.7,0,0,8,24,12,54.2,22,62,8,0,40.8,164,29,71,308.31,2951,2,3155,2017
"R.Sanchez",12130,"P","IND",16,84,84,4.38,43.14,44.81,4.7,1,0,19,27,14,74.2,30,61,16,0,20.2,80,17,85,368.08,3624,3,3764,2017
"M.Haack",12212,"P","MIA",16,83,83,4.31,40.66,44.52,6.3,0,0,17,20,17,59,33,64,6,0,42.2,220,35,83,357.89,3375,5,3695,2017
"B.Roethlisberger",1732,"QB","PIT",1,1,1,2.48,9,27,18,0,0,0,0,25,60,0,27,0,0,0,18,0,1,2.48,9,0,27,2018
"A.Lee",1906,"P","ARZ",16,94,94,4.37,42.64,48.6,9.5,0,0,12,24,1,75.6,33,64,7,0,46.8,420,44,94,410.53,4008,7,4568,2018
"D.Jones",1939,"","LAC",14,58,58,4.09,36.97,41.45,6.9,0,0,6,14,27,44.7,16,59,8,0,44.8,180,26,58,237.45,2144,4,2404,2018
"D.Colquitt",2316,"P","KC",17,53,53,4.37,39.87,44.3,6.8,1,0,11,15,16,64.1,26,67,2,0,37.7,135,20,54,231.41,2113,5,2348,2018
"S.Koch",3148,"P","BLT",17,66,66,4.26,40.14,47.12,10.3,1,0,7,11,3,71.8,29,65,8,0,53,361,35,67,281.06,2649,5,3110,2018
